Date,Male,Female
1950-01-01,33504,33511
1950-02-01,33142,33119
1950-03-01,35685,36082
1950-04-01,32922,33146
1950-05-01,32312,31782
1950-06-01,29368,28880
1950-07-01,28298,27846
1950-08-01,28121,27242
1950-09-01,27068,25969
1950-10-01,29801,29062
1950-11-01,31481,32105
1950-12-01,33621,34262
1951-01-01,38485,39223
1951-02-01,34867,35678
1951-03-01,36482,36651
1951-04-01,32595,32237
1951-05-01,31432,31007
1951-06-01,29440,28126
1951-07-01,28998,27621
1951-08-01,28166,26744
1951-09-01,26422,25169
1951-10-01,30992,29596
1951-11-01,30057,29215
1951-12-01,32219,31275
1952-01-01,34959,34017
1952-02-01,32996,33208
1952-03-01,37786,38448
1952-04-01,36869,37931
1952-05-01,31295,30452
1952-06-01,29209,28454
1952-07-01,30739,29455
1952-08-01,28197,27364
1952-09-01,27606,26326
1952-10-01,30984,30090
1952-11-01,30799,30025
1952-12-01,35564,34866
1953-01-01,40965,40592
1953-02-01,47848,48345
1953-03-01,39721,39749
1953-04-01,32203,31833
1953-05-01,32049,30898
1953-06-01,29257,27809
1953-07-01,28906,27155
1953-08-01,28199,26527
1953-09-01,27476,25860
1953-10-01,29670,28516
1953-11-01,30515,29645
1953-12-01,33564,33352
1954-01-01,38677,38902
1954-02-01,38248,38731
1954-03-01,36575,36447
1954-04-01,32111,31409
1954-05-01,32728,32415
1954-06-01,29671,28624
1954-07-01,29397,27860
1954-08-01,29049,27572
1954-09-01,27951,26373
1954-10-01,31701,30039
1954-11-01,32198,30490
1954-12-01,34304,33819
1955-01-01,37029,36385
1955-02-01,35626,36246
1955-03-01,41327,42300
1955-04-01,33997,33521
1955-05-01,33498,32430
1955-06-01,32343,30898
1955-07-01,30681,29254
1955-08-01,30196,28235
1955-09-01,28778,26767
1955-10-01,32288,30115
1955-11-01,32800,31580
1955-12-01,35560,34084
1956-01-01,36141,34743
1956-02-01,39075,38243
1956-03-01,42522,41946
1956-04-01,37294,36169
1956-05-01,35503,34181
1956-06-01,31366,29434
1956-07-01,32314,30099
1956-08-01,30337,28328
1956-09-01,30081,28188
1956-10-01,31936,30248
1956-11-01,33603,31995
1956-12-01,34987,33378
1957-01-01,37257,36348
1957-02-01,32841,32401
1957-03-01,37849,37354
1957-04-01,34581,33798
1957-05-01,34945,33054
1957-06-01,32845,31513
1957-07-01,33662,31829
1957-08-01,31471,29088
1957-09-01,33282,30462
1957-10-01,45223,41387
1957-11-01,36079,33734
1957-12-01,40430,38762
1958-01-01,42170,41185
1958-02-01,38898,37618
1958-03-01,40307,39355
1958-04-01,36056,35420
1958-05-01,34062,32527
1958-06-01,31273,29571
1958-07-01,31254,29809
1958-08-01,30282,28349
1958-09-01,29250,27395
1958-10-01,32701,31176
1958-11-01,33423,32494
1958-12-01,37461,36382
1959-01-01,36517,35855
1959-02-01,35570,34451
1959-03-01,40501,40204
1959-04-01,38054,36679
1959-05-01,34836,33592
1959-06-01,33331,31458
1959-07-01,33887,32374
1959-08-01,31382,29426
1959-09-01,31159,28620
1959-10-01,35701,33673
1959-11-01,35922,34153
1959-12-01,39300,38757
1960-01-01,43376,41856
1960-02-01,50832,48920
1960-03-01,43125,41970
1960-04-01,35554,34437
1960-05-01,35509,33891
1960-06-01,32575,31338
1960-07-01,33001,31120
1960-08-01,32349,30649
1960-09-01,31216,29500
1960-10-01,35794,34715
1960-11-01,35225,34254
1960-12-01,38443,37072
1961-01-01,40285,39639
1961-02-01,34866,34515
1961-03-01,36700,36026
1961-04-01,35328,34795
1961-05-01,36321,34878
1961-06-01,35477,34007
1961-07-01,33653,31933
1961-08-01,33765,32127
1961-09-01,32104,30612
1961-10-01,35337,32976
1961-11-01,37353,35872
1961-12-01,41719,40012
1962-01-01,42896,42896
1962-02-01,38031,37089
1962-03-01,46674,45576
1962-04-01,38447,37863
1962-05-01,36383,34523
1962-06-01,35560,33684
1962-07-01,34039,32351
1962-08-01,32632,30400
1962-09-01,32152,30059
1962-10-01,34567,33051
1962-11-01,36135,34404
1962-12-01,40615,38787
1963-01-01,44438,43920
1963-02-01,49839,49117
1963-03-01,46268,45392
1963-04-01,35976,35738
1963-05-01,35890,34526
1963-06-01,32941,31508
1963-07-01,34301,32464
