Nr,Gewicht
1,4
2,6
3,6
4,6
5,6
6,6
7,6
8,6
9,6
10,6
11,6
12,6
13,7
14,7
15,7
16,7
17,7
18,7
19,7
20,7
21,7
22,7
23,7
24,7
25,8
26,8
27,8
28,8
29,8
30,8
31,8
32,9
33,9
34,9
35,9
36,9
37,10
38,10
39,12
40,13
41,11
42,8
43,13
44,11
45,7
46,8
47,7
48,7
49,9
50,11
51,7
52,5
53,8
54,8
55,7
56,8
57,9
58,10
59,8
60,8
61,10
62,10
63,4
64,7
65,6
66,11
67,9
68,9
69,5
70,6
71,7
72,8
73,7
74,9
75,6
76,9
77,8
78,11
79,10
80,8
81,7
82,9
83,9
84,10
85,9
86,9
87,9
88,13
89,6
90,8
91,7
92,7
93,7
94,8
95,6
96,6
97,9
98,7
