CountryCode;Sex;Altersgruppe;Bis;Todesfall
250;B;0;9;^
250;B;10;19;7
250;B;20;29;44
250;B;30;39;156
250;B;40;49;499
250;B;50;59;1778
250;B;60;69;5413
250;B;70;79;11415
250;B;80;89;20735
250;B;90;100;12220
250;M;0;9;3
250;M;10;19;3
250;M;20;29;25
250;M;30;39;97
250;M;40;49;290
250;M;50;59;1176
250;M;60;69;3768
250;M;70;79;7781
250;M;80;89;11849
250;M;90;100;5267
250;F;0;9;1
250;F;10;19;4
250;F;20;29;19
250;F;30;39;59
250;F;40;49;207
250;F;50;59;594
250;F;60;69;1619
250;F;70;79;3571
250;F;80;89;8768
250;F;90;100;6879
250;U;0;9;0
250;U;10;19;0
250;U;20;29;0
250;U;30;39;0
250;U;40;49;2
250;U;50;59;8
250;U;60;69;26
250;U;70;79;63
250;U;80;89;118
250;U;90;100;74
