CountryCode,Sex,Altersgruppe,Bis,Todesfall
276,B,0,9,11
276,B,10,19,9
276,B,20,29,78
276,B,30,39,229
276,B,40,49,669
276,B,50,59,2913
276,B,60,69,7991
276,B,70,79,18419
276,B,80,89,39916
276,B,90,99,18973
276,F,0,9,8
276,F,10,19,4
276,F,20,29,28
276,F,30,39,76
276,F,40,49,217
276,F,50,59,843
276,F,60,69,2423
276,F,70,79,6656
276,F,80,89,19620
276,F,90,99,12485
276,M,0,9,3
276,M,10,19,5
276,M,20,29,50
276,M,30,39,153
276,M,40,49,452
276,M,50,59,2070
276,M,60,69,5568
276,M,70,79,11763
276,M,80,89,20296
276,M,90,99,6488
