CountryCode,Sex,Age,,Count
826,B,0,0,2
826,B,1,4,0
826,B,5,9,3
826,B,10,14,6
826,B,15,19,17
826,B,20,24,42
826,B,25,29,92
826,B,30,34,164
826,B,35,39,276
826,B,40,44,501
826,B,45,49,975
826,B,50,54,1.752
826,B,55,59,2.974
826,B,60,64,4.425
826,B,65,69,6.165
826,B,70,74,10.211
826,B,75,79,14.510
826,B,80,84,20.108
826,B,85,89,21.772
826,B,90,100,23.300
826,M,0,0,2
826,M,1,4,0
826,M,5,9,0
826,M,10,14,4
826,M,15,19,9
826,M,20,24,25
826,M,25,29,56
826,M,30,34,98
826,M,35,39,161
826,M,40,44,307
826,M,45,49,592
826,M,50,54,1.079
826,M,55,59,1.914
826,M,60,64,2.893
826,M,65,69,3.939
826,M,70,74,6.438
826,M,75,79,8.852
826,M,80,84,11.490
826,M,85,89,11.296
826,M,90,100,9.500
826,F,0,0,0
826,F,1,4,0
826,F,5,9,3
826,F,10,14,2
826,F,15,19,8
826,F,20,24,17
826,F,25,29,36
826,F,30,34,66
826,F,35,39,115
826,F,40,44,194
826,F,45,49,383
826,F,50,54,673
826,F,55,59,1.060
826,F,60,64,1.532
826,F,65,69,2.226
826,F,70,74,3.773
826,F,75,79,5.658
826,F,80,84,8.618
826,F,85,89,10.476
826,F,90,100,13.800
