Stichtag,Alter,Male,Female,Insgesamt
2015-12-31,0,382551,362170,744721
2015-12-31,1,380101,359977,740078
2015-12-31,2,367786,347822,715608
2015-12-31,3,366762,346995,713757
2015-12-31,4,359093,340289,699382
2015-12-31,5,367898,348965,716863
2015-12-31,6,362274,342442,704716
2015-12-31,7,371378,351988,723366
2015-12-31,8,370501,349951,720452
2015-12-31,9,363739,342778,706517
2015-12-31,10,368339,348360,716699
2015-12-31,11,377066,356632,733698
2015-12-31,12,377366,356615,733981
2015-12-31,13,384238,362053,746291
2015-12-31,14,394959,370038,764997
2015-12-31,15,414430,387785,802215
2015-12-31,16,423269,388025,811294
2015-12-31,17,433447,397595,831042
2015-12-31,18,459532,413639,873171
2015-12-31,19,458792,413450,872242
2015-12-31,20,454777,410082,864859
2015-12-31,21,462645,420269,882914
2015-12-31,22,479967,438088,918055
2015-12-31,23,490304,450279,940583
2015-12-31,24,510875,470592,981467
2015-12-31,25,564094,517414,1081508
2015-12-31,26,555439,514168,1069607
2015-12-31,27,571878,527199,1099077
2015-12-31,28,559651,517800,1077451
2015-12-31,29,547653,512385,1060038
2015-12-31,30,530264,498019,1028283
2015-12-31,31,526211,497203,1023414
2015-12-31,32,525713,500561,1026274
2015-12-31,33,536345,512875,1049220
2015-12-31,34,528536,512133,1040669
2015-12-31,35,530571,515394,1045965
2015-12-31,36,503981,491704,995685
2015-12-31,37,497251,484559,981810
2015-12-31,38,493218,480310,973528
2015-12-31,39,482259,472497,954756
2015-12-31,40,470864,459589,930453
2015-12-31,41,475238,467556,942794
2015-12-31,42,478608,472076,950684
2015-12-31,43,520434,510837,1031271
2015-12-31,44,573664,561222,1134886
2015-12-31,45,594848,582482,1177330
2015-12-31,46,640979,624114,1265093
2015-12-31,47,671085,653581,1324666
2015-12-31,48,688363,671607,1359970
2015-12-31,49,707270,689375,1396645
2015-12-31,50,710458,690454,1400912
2015-12-31,51,721941,704276,1426217
2015-12-31,52,714227,699283,1413510
2015-12-31,53,688648,678752,1367400
2015-12-31,54,675553,671173,1346726
2015-12-31,55,650555,648841,1299396
2015-12-31,56,631174,630592,1261766
2015-12-31,57,594323,595821,1190144
2015-12-31,58,577953,582959,1160912
2015-12-31,59,558486,567936,1126422
2015-12-31,60,536080,552816,1088896
2015-12-31,61,519384,545713,1065097
2015-12-31,62,498035,529608,1027643
2015-12-31,63,494051,528204,1022255
2015-12-31,64,481708,516457,998165
2015-12-31,65,478436,515108,993544
2015-12-31,66,460601,495342,955943
2015-12-31,67,418628,449827,868455
2015-12-31,68,388193,423014,811207
2015-12-31,69,334464,368271,702735
2015-12-31,70,287518,325616,613134
2015-12-31,71,381396,431418,812814
2015-12-31,72,382470,435355,817825
2015-12-31,73,364626,419698,784324
2015-12-31,74,431361,509735,941096
2015-12-31,75,441132,533183,974315
2015-12-31,76,420883,520075,940958
2015-12-31,77,379043,476392,855435
2015-12-31,78,338294,436966,775260
2015-12-31,79,310317,413613,723930
2015-12-31,80,281699,387957,669656
2015-12-31,81,243568,347107,590675
2015-12-31,82,180373,268040,448413
2015-12-31,83,163714,255410,419124
2015-12-31,84,150123,246421,396544
2015-12-31,85,668202,1536589,2204791
2016-12-31,0,403564,384735,788299
2016-12-31,1,391699,370820,762519
2016-12-31,2,386856,366361,753217
2016-12-31,3,373724,353479,727203
2016-12-31,4,372745,352463,725208
2016-12-31,5,364483,345166,709649
2016-12-31,6,372791,353199,725990
2016-12-31,7,367520,347094,714614
2016-12-31,8,376926,356978,733904
2016-12-31,9,375470,354300,729770
2016-12-31,10,368644,346854,715498
2016-12-31,11,372775,352305,725080
2016-12-31,12,381238,360196,741434
2016-12-31,13,381743,360084,741827
2016-12-31,14,389122,365234,754356
2016-12-31,15,401366,373495,774861
2016-12-31,16,425176,391999,817175
2016-12-31,17,437671,391987,829658
2016-12-31,18,448700,403949,852649
2016-12-31,19,474485,424041,898526
2016-12-31,20,472015,424854,896869
2016-12-31,21,464476,419395,883871
2016-12-31,22,472217,428110,900327
2016-12-31,23,488896,446961,935857
2016-12-31,24,498326,458781,957107
2016-12-31,25,517835,478296,996131
2016-12-31,26,569618,524395,1094013
2016-12-31,27,560561,520945,1081506
2016-12-31,28,576162,532729,1108891
2016-12-31,29,562929,523286,1086215
2016-12-31,30,550259,517944,1068203
2016-12-31,31,532987,503341,1036328
2016-12-31,32,528086,501801,1029887
2016-12-31,33,527169,505012,1032181
2016-12-31,34,537679,516797,1054476
2016-12-31,35,529587,515876,1045463
2016-12-31,36,531441,519009,1050450
2016-12-31,37,504917,494747,999664
2016-12-31,38,497865,487725,985590
2016-12-31,39,493796,483075,976871
2016-12-31,40,482589,475288,957877
2016-12-31,41,471244,461879,933123
2016-12-31,42,475382,469802,945184
2016-12-31,43,478790,474234,953024
2016-12-31,44,520352,512426,1032778
2016-12-31,45,573121,562689,1135810
2016-12-31,46,594048,583694,1177742
2016-12-31,47,639442,624889,1264331
2016-12-31,48,669654,654117,1323771
2016-12-31,49,686478,671780,1358258
2016-12-31,50,704842,689115,1393957
2016-12-31,51,707768,689985,1397753
2016-12-31,52,718576,703375,1421951
2016-12-31,53,710558,698174,1408732
2016-12-31,54,684508,677406,1361914
2016-12-31,55,670968,669440,1340408
2016-12-31,56,646119,647001,1293120
2016-12-31,57,626157,628398,1254555
2016-12-31,58,589191,593393,1182584
2016-12-31,59,572312,580147,1152459
2016-12-31,60,552474,565179,1117653
2016-12-31,61,530011,549761,1079772
2016-12-31,62,513037,542480,1055517
2016-12-31,63,491105,526042,1017147
2016-12-31,64,486830,524361,1011191
2016-12-31,65,473859,512258,986117
2016-12-31,66,470070,510567,980637
2016-12-31,67,452030,490517,942547
2016-12-31,68,410508,445053,855561
2016-12-31,69,380141,418298,798439
2016-12-31,70,326626,363537,690163
2016-12-31,71,280396,321149,601545
2016-12-31,72,371321,425271,796592
2016-12-31,73,371729,428679,800408
2016-12-31,74,353642,412587,766229
2016-12-31,75,417244,500246,917490
2016-12-31,76,425109,522375,947484
2016-12-31,77,404467,508305,912772
2016-12-31,78,362215,463957,826172
2016-12-31,79,321645,423994,745639
2016-12-31,80,293429,399061,692490
2016-12-31,81,264228,372326,636554
2016-12-31,82,226608,330744,557352
2016-12-31,83,166139,253704,419843
2016-12-31,84,149137,239595,388732
2016-12-31,85,697500,1549439,2246939
2017-12-31,0,402569,382505,785074
2017-12-31,1,407765,388384,796149
2017-12-31,2,395923,374705,770628
2017-12-31,3,390784,370084,760868
2017-12-31,4,377177,356882,734059
2017-12-31,5,376371,355717,732088
2017-12-31,6,367598,347930,715528
2017-12-31,7,376147,356439,732586
2017-12-31,8,370796,350372,721168
2017-12-31,9,380506,360340,740846
2017-12-31,10,378707,357375,736082
2017-12-31,11,371956,349789,721745
2017-12-31,12,375806,355014,730820
2017-12-31,13,384110,362780,746890
2017-12-31,14,384680,362548,747228
2017-12-31,15,392357,367881,760238
2017-12-31,16,405608,376356,781964
2017-12-31,17,429432,394753,824185
2017-12-31,18,444730,397216,841946
2017-12-31,19,459185,413049,872234
2017-12-31,20,483514,434650,918164
2017-12-31,21,479705,434280,913985
2017-12-31,22,472326,427501,899827
2017-12-31,23,480760,437546,918306
2017-12-31,24,496771,455461,952232
