Jahr,Kw,AgeGroup,Count,CumulatedCount
2020,14,0,9,9
2020,14,5,10,10
2020,14,10,20,20
2020,14,15,42,42
2020,14,20,70,70
2020,14,25,76,76
2020,14,30,69,69
2020,14,35,67,67
2020,14,40,85,85
2020,14,45,99,99
2020,14,50,133,133
2020,14,55,77,77
2020,14,60,61,61
2020,14,65,25,25
2020,14,70,11,11
2020,14,75,24,24
2020,14,80,12,12
2020,14,85,6,6
2020,14,90,1,1
2020,15,0,36,45
2020,15,5,56,66
2020,15,10,101,121
2020,15,15,182,224
2020,15,20,324,394
2020,15,25,547,623
2020,15,30,537,606
2020,15,35,547,614
2020,15,40,565,650
2020,15,45,744,843
2020,15,50,980,1113
2020,15,55,753,830
2020,15,60,427,488
2020,15,65,238,263
2020,15,70,145,156
2020,15,75,114,138
2020,15,80,85,97
2020,15,85,38,44
2020,15,90,13,14
2020,16,0,143,188
2020,16,5,169,235
2020,16,10,253,374
2020,16,15,542,766
2020,16,20,1447,1841
2020,16,25,1999,2622
2020,16,30,2052,2658
2020,16,35,1755,2369
2020,16,40,1804,2454
2020,16,45,2108,2951
2020,16,50,3093,4206
2020,16,55,2600,3430
2020,16,60,1601,2089
2020,16,65,886,1149
2020,16,70,620,776
2020,16,75,573,711
2020,16,80,469,566
2020,16,85,219,263
2020,16,90,102,116
2020,17,0,254,442
2020,17,5,248,483
2020,17,10,379,753
2020,17,15,938,1704
2020,17,20,2271,4112
2020,17,25,2690,5312
2020,17,30,2635,5293
2020,17,35,2380,4749
2020,17,40,2326,4780
2020,17,45,2921,5872
2020,17,50,3998,8204
2020,17,55,3593,7023
2020,17,60,2524,4613
2020,17,65,1649,2798
2020,17,70,1327,2103
2020,17,75,1406,2117
2020,17,80,1281,1847
2020,17,85,737,1000
2020,17,90,424,540
2020,18,0,271,713
2020,18,5,293,776
2020,18,10,430,1183
2020,18,15,1076,2780
2020,18,20,2245,6357
2020,18,25,2485,7797
2020,18,30,2420,7713
2020,18,35,2205,6954
2020,18,40,2306,7086
2020,18,45,2716,8588
2020,18,50,3695,11899
2020,18,55,3669,10692
2020,18,60,2782,7395
2020,18,65,1690,4488
2020,18,70,1417,3520
2020,18,75,1788,3905
2020,18,80,1966,3813
2020,18,85,1447,2447
2020,18,90,1171,1711
2020,19,0,237,950
2020,19,5,237,1013
2020,19,10,306,1489
2020,19,15,855,3635
2020,19,20,1737,8094
2020,19,25,1934,9731
2020,19,30,1751,9464
2020,19,35,1651,8605
2020,19,40,1679,8765
2020,19,45,1917,10505
2020,19,50,2611,14510
2020,19,55,2606,13298
2020,19,60,1792,9187
2020,19,65,1117,5605
2020,19,70,1047,4567
2020,19,75,1316,5221
2020,19,80,1715,5528
2020,19,85,1425,3872
2020,19,90,1243,2954
2020,20,0,161,1111
2020,20,5,163,1176
2020,20,10,236,1725
2020,20,15,571,4206
2020,20,20,1230,9324
2020,20,25,1294,11025
2020,20,30,1205,10669
2020,20,35,981,9586
2020,20,40,1023,9788
2020,20,45,1174,11679
2020,20,50,1559,16069
2020,20,55,1565,14863
2020,20,60,1084,10271
2020,20,65,661,6266
2020,20,70,631,5198
2020,20,75,854,6075
2020,20,80,1181,6709
2020,20,85,925,4797
2020,20,90,848,3802
2020,21,0,185,1296
2020,21,5,153,1329
2020,21,10,188,1913
2020,21,15,403,4609
2020,21,20,960,10284
2020,21,25,995,12020
2020,21,30,907,11576
2020,21,35,765,10351
2020,21,40,698,10486
2020,21,45,788,12467
2020,21,50,992,17061
2020,21,55,1060,15923
2020,21,60,674,10945
2020,21,65,504,6770
2020,21,70,424,5622
2020,21,75,587,6662
2020,21,80,821,7530
2020,21,85,681,5478
2020,21,90,581,4383
2020,22,0,132,1428
2020,22,5,120,1449
2020,22,10,136,2049
2020,22,15,263,4872
2020,22,20,595,10879
2020,22,25,681,12701
2020,22,30,561,12137
2020,22,35,462,10813
2020,22,40,456,10942
2020,22,45,469,12936
2020,22,50,604,17665
2020,22,55,599,16522
2020,22,60,405,11350
2020,22,65,266,7036
2020,22,70,275,5897
2020,22,75,351,7013
2020,22,80,452,7982
2020,22,85,326,5804
2020,22,90,285,4668
2020,23,0,138,1566
2020,23,5,105,1554
2020,23,10,125,2174
2020,23,15,260,5132
2020,23,20,507,11386
2020,23,25,522,13223
2020,23,30,488,12625
2020,23,35,421,11234
2020,23,40,405,11347
2020,23,45,447,13383
2020,23,50,520,18185
2020,23,55,510,17032
2020,23,60,332,11682
2020,23,65,208,7244
2020,23,70,207,6104
2020,23,75,274,7287
2020,23,80,300,8282
2020,23,85,263,6067
2020,23,90,208,4876
2020,24,0,116,1682
2020,24,5,111,1665
2020,24,10,118,2292
2020,24,15,182,5314
2020,24,20,419,11805
2020,24,25,392,13615
2020,24,30,394,13019
2020,24,35,353,11587
2020,24,40,357,11704
2020,24,45,330,13713
2020,24,50,376,18561
2020,24,55,360,17392
2020,24,60,240,11922
2020,24,65,146,7390
2020,24,70,129,6233
2020,24,75,176,7463
2020,24,80,246,8528
2020,24,85,179,6246
2020,24,90,143,5019
2020,25,0,124,1806
2020,25,5,79,1744
2020,25,10,107,2399
2020,25,15,152,5466
2020,25,20,315,12120
2020,25,25,346,13961
2020,25,30,319,13338
2020,25,35,276,11863
2020,25,40,244,11948
2020,25,45,253,13966
2020,25,50,251,18812
2020,25,55,266,17658
2020,25,60,175,12097
2020,25,65,123,7513
2020,25,70,93,6326
2020,25,75,105,7568
2020,25,80,153,8681
2020,25,85,127,6373
2020,25,90,103,5122
2020,26,0,88,1894
2020,26,5,113,1857
2020,26,10,119,2518
2020,26,15,160,5626
2020,26,20,289,12409
2020,26,25,316,14277
2020,26,30,270,13608
2020,26,35,240,12103
2020,26,40,211,12159
2020,26,45,214,14180
2020,26,50,241,19053
2020,26,55,237,17895
2020,26,60,167,12264
2020,26,65,106,7619
2020,26,70,80,6406
2020,26,75,82,7650
2020,26,80,112,8793
2020,26,85,85,6458
2020,26,90,72,5194
2020,27,0,107,2001
2020,27,5,99,1956
2020,27,10,103,2621
2020,27,15,160,5786
2020,27,20,229,12638
2020,27,25,223,14500
2020,27,30,206,13814
2020,27,35,156,12259
2020,27,40,176,12335
2020,27,45,161,14341
2020,27,50,150,19203
2020,27,55,142,18037
2020,27,60,106,12370
2020,27,65,60,7679
2020,27,70,47,6453
2020,27,75,58,7708
2020,27,80,76,8869
2020,27,85,51,6509
2020,27,90,42,5236
2020,28,0,110,2111
2020,28,5,123,2079
2020,28,10,119,2740
2020,28,15,111,5897
2020,28,20,249,12887
2020,28,25,243,14743
2020,28,30,224,14038
2020,28,35,194,12453
2020,28,40,157,12492
2020,28,45,145,14486
2020,28,50,146,19349
2020,28,55,134,18171
2020,28,60,91,12461
2020,28,65,51,7730
2020,28,70,40,6493
2020,28,75,46,7754
2020,28,80,62,8931
2020,28,85,51,6560
2020,28,90,46,5282
2020,29,0,159,2270
2020,29,5,176,2255
2020,29,10,192,2932
2020,29,15,240,6137
2020,29,20,379,13266
2020,29,25,391,15134
2020,29,30,412,14450
2020,29,35,384,12837
2020,29,40,453,12945
2020,29,45,375,14861
2020,29,50,317,19666
2020,29,55,186,18357
2020,29,60,122,12583
2020,29,65,69,7799
2020,29,70,58,6551
2020,29,75,65,7819
2020,29,80,62,8993
2020,29,85,47,6607
2020,29,90,37,5319
2020,30,0,135,2405
2020,30,5,138,2393
2020,30,10,146,3078
2020,30,15,169,6306
2020,30,20,260,13526
2020,30,25,326,15460
2020,30,30,332,14782
2020,30,35,299,13136
2020,30,40,273,13218
2020,30,45,278,15139
2020,30,50,268,19934
2020,30,55,203,18560
2020,30,60,107,12690
2020,30,65,66,7865
2020,30,70,40,6591
2020,30,75,57,7876
2020,30,80,51,9044
2020,30,85,33,6640
2020,30,90,28,5347
2020,31,0,141,2546
2020,31,5,123,2516
2020,31,10,105,3183
2020,31,15,138,6444
2020,31,20,258,13784
2020,31,25,315,15775
2020,31,30,257,15039
2020,31,35,226,13362
2020,31,40,214,13432
2020,31,45,220,15359
2020,31,50,186,20120
2020,31,55,155,18715
2020,31,60,111,12801
2020,31,65,62,7927
2020,31,70,37,6628
2020,31,75,40,7916
2020,31,80,49,9093
2020,31,85,28,6668
2020,31,90,24,5371
2020,32,0,147,2693
2020,32,5,115,2631
2020,32,10,103,3286
2020,32,15,150,6594
2020,32,20,237,14021
2020,32,25,227,16002
2020,32,30,259,15298
2020,32,35,204,13566
2020,32,40,190,13622
2020,32,45,181,15540
2020,32,50,173,20293
2020,32,55,116,18831
2020,32,60,93,12894
2020,32,65,62,7989
2020,32,70,56,6684
2020,32,75,40,7956
