Date,Kw,WTag,Cases,Deaths
0,4,0,0,0
1,4,1,0,0
2,4,2,0,0
3,4,3,0,0
4,4,4,0,0
5,4,5,0,0
6,4,6,0,0
7,5,0,1,0
8,5,1,4,0
9,5,2,4,0
10,5,3,4,0
11,5,4,5,0
12,5,5,8,0
13,5,6,10,0
14,6,0,12,0
15,6,1,12,0
16,6,2,12,0
17,6,3,12,0
18,6,4,13,0
19,6,5,13,0
20,6,6,14,0
21,7,0,14,0
22,7,1,16,0
23,7,2,16,0
24,7,3,16,0
25,7,4,16,0
26,7,5,16,0
27,7,6,16,0
28,8,0,16,0
29,8,1,16,0
30,8,2,16,0
31,8,3,16,0
32,8,4,16,0
33,8,5,16,0
34,8,6,16,0
35,9,0,16,0
36,9,1,17,0
37,9,2,27,0
38,9,3,46,0
39,9,4,48,0
40,9,5,79,0
41,9,6,130,0
42,10,0,159,0
43,10,1,196,0
44,10,2,262,0
45,10,3,482,0
46,10,4,670,0
47,10,5,799,0
48,10,6,1040,0
49,11,0,1176,2
50,11,1,1457,2
51,11,2,1908,3
52,11,3,2078,3
53,11,4,3675,7
54,11,5,4585,9
55,11,6,5795,11
56,12,0,7272,17
57,12,1,9257,24
58,12,2,12327,28
59,12,3,15320,44
60,12,4,19848,67
61,12,5,22213,84
62,12,6,24873,94
63,13,0,29056,123
64,13,1,32986,157
65,13,2,37323,206
66,13,3,43938,267
67,13,4,50871,342
68,13,5,57695,433
69,13,6,62095,533
70,14,0,66885,645
71,14,1,71808,775
72,14,2,77872,920
73,14,3,84794,1107
74,14,4,91159,1275
75,14,5,96092,1444
76,14,6,100123,1584
77,15,0,103374,1810
78,15,1,107663,2016
79,15,2,113296,2349
80,15,3,118181,2607
81,15,4,122171,2767
82,15,5,124908,2736
83,15,6,127854,3022
84,16,0,130072,3194
85,16,1,131359,3294
86,16,2,134753,3804
87,16,3,137698,4052
88,16,4,141397,4352
89,16,5,143342,4459
90,16,6,145184,4586
91,17,0,147065,4862
92,17,1,148291,5033
93,17,2,150648,5279
94,17,3,153129,5575
95,17,4,154999,5760
96,17,5,156513,5877
97,17,6,157770,5976
98,18,0,158758,6126
99,18,1,159912,6314
100,18,2,161539,6467
101,18,3,163009,6623
102,18,4,164077,6736
103,18,5,164967,6812
104,18,6,165664,6866
105,19,0,166152,6993
106,19,1,167007,6993
107,19,2,168162,7275
108,19,3,169430,7392
109,19,4,170588,7510
110,19,5,171324,7549
111,19,6,171879,7569
112,20,0,172576,7661
113,20,1,173171,7738
114,20,2,174098,7861
115,20,3,174478,7884
116,20,4,175233,7897
117,20,5,175752,7938
118,20,6,176369,7962
119,21,0,176551,8003
120,21,1,177778,8081
121,21,2,178473,8144
122,21,3,179021,8203
123,21,4,179710,8228
124,21,5,179986,8261
125,21,6,180328,8283
126,22,0,180600,8309
127,22,1,181200,8372
128,22,2,181524,8428
129,22,3,182196,8470
130,22,4,182922,8504
131,22,5,183189,8530
132,22,6,183410,8540
133,23,0,183594,8555
134,23,1,183879,8563
135,23,2,184121,8602
136,23,3,184472,8635
