Altersgruppe ,Tag,0-9 ,10-19 ,20-29 ,30-39 ,40-49 ,50-59 ,60-69 ,70-79 ,80-89 ,90+ ,Total,,,
08.02.21,0,51,106,151,179,181,210,106,43,41,13,1081,,,
09.02.21,1,56,117,178,206,206,244,127,50,45,17,1246,,,
10.02.21,2,61,127,191,202,213,236,119,43,30,10,1232,,,
11.02.21,3,66,141,212,223,243,262,126,53,34,10,1370,,,
12.02.21,4,76,168,241,253,281,312,139,56,38,11,1575,,,
13.02.21,5,83,185,266,278,306,351,151,66,48,13,1747,,,
14.02.21,6,87,192,279,292,310,360,161,66,48,14,1809,,,
15.02.21,7,90,202,303,312,332,375,173,76,53,16,1932,,,
16.02.21,8,96,215,317,331,361,401,185,80,63,16,2065,,,
17.02.21,9,103,232,343,363,393,435,202,85,69,25,2250,,,
18.02.21,10,117,257,369,418,429,471,225,96,76,27,2485,,,
19.02.21,11,137,275,402,460,461,511,239,97,83,27,2692,,,
20.02.21,12,155,285,428,488,487,556,259,105,90,32,2885,,,
21.02.21,13,159,291,445,507,499,575,499,109,91,33,3208,,,
,,,,,,,,,,,,,,,.
,,,,,,,,,,,,,,,.
