Woche,Date,Kw,Tage,Cases,Deaths,WMin,WMax
1,2020-02-24,9,7,150,0,5,51
2,2020-03-02,10,7,962,2,38,265
3,2020-03-09,11,7,4900,10,184,1174
4,2020-03-16,12,7,16660,74,1042,4062
5,2020-03-23,13,7,34626,369,3965,6294
6,2020-03-30,14,7,38093,979,3677,6174
7,2020-04-06,15,7,27625,1365,2537,5323
8,2020-04-13,16,7,18656,1605,1775,3609
9,2020-04-20,17,7,13521,1346,1018,2352
10,2020-04-27,18,7,7982,942,679,1639
11,2020-05-04,19,7,6400,725,357,1284
12,2020-05-11,20,7,5122,518,342,933
13,2020-05-18,21,7,3873,322,289,797
14,2020-05-25,22,7,3245,254,286,741
15,2020-06-01,23,7,2378,163,213,507
16,2020-06-08,24,7,2268,117,192,555
17,2020-06-15,25,7,3898,94,345,770
18,2020-06-22,26,7,3402,76,256,687
19,2020-06-29,27,7,2793,55,219,503
20,2020-07-06,28,7,2409,48,159,442
21,2020-07-13,29,7,2860,22,202,583
22,2020-07-20,30,7,3786,32,305,815
23,2020-07-27,31,7,4793,30,240,955
24,2020-08-03,32,7,5925,49,436,1147
25,2020-08-10,33,7,7687,35,561,1449
26,2020-08-17,34,7,9561,40,711,2034
27,2020-08-24,35,7,8806,26,610,1576
28,2020-08-31,36,7,8418,27,814,1453
29,2020-09-07,37,7,9556,25,927,1892
30,2020-09-14,38,7,11982,36,922,2297
31,2020-09-21,39,7,12995,74,1192,2507
32,2020-09-28,40,7,15287,74,1382,2673
33,2020-10-05,41,7,24712,87,2467,4721
34,2020-10-12,42,7,40968,168,4122,7830
35,2020-10-19,43,2,14463,86,6868,7595
