Date,Day,Kw,WTag,Cases,Deaths,incCases,incDeaths
2020-02-24,1,9,0,16,0,16,0
2020-02-25,2,9,1,21,0,5,0
2020-02-26,3,9,2,26,0,5,0
2020-02-27,4,9,3,53,0,27,0
2020-02-28,5,9,4,66,0,13,0
2020-02-29,6,9,5,117,0,51,0
2020-03-01,7,9,6,150,0,33,0
2020-03-02,8,10,0,188,0,38,0
2020-03-03,9,10,1,240,0,52,0
2020-03-04,10,10,2,349,0,109,0
2020-03-05,11,10,3,534,0,185,0
2020-03-06,12,10,4,684,0,150,0
2020-03-07,13,10,5,847,0,163,0
2020-03-08,14,10,6,1112,2,265,2
2020-03-09,15,11,0,1296,2,184,0
2020-03-10,16,11,1,1567,3,271,1
2020-03-11,17,11,2,2369,5,802,2
2020-03-12,18,11,3,3062,5,693,0
2020-03-13,19,11,4,3795,8,733,3
2020-03-14,20,11,5,4838,12,1043,4
2020-03-15,21,11,6,6012,12,1174,0
2020-03-16,22,12,0,7156,12,1144,0
2020-03-17,23,12,1,8198,12,1042,0
2020-03-18,24,12,2,10999,20,2801,8
2020-03-19,25,12,3,13957,31,2958,11
2020-03-20,26,12,4,16662,47,2705,16
2020-03-21,27,12,5,18610,55,1948,8
2020-03-22,28,12,6,22672,86,4062,31
2020-03-23,29,13,0,27436,114,4764,28
2020-03-24,30,13,1,31554,149,4118,35
2020-03-25,31,13,2,36508,198,4954,49
2020-03-26,32,13,3,42288,253,5780,55
2020-03-27,33,13,4,48582,325,6294,72
2020-03-28,34,13,5,52547,389,3965,64
2020-03-29,35,13,6,57298,455,4751,66
2020-03-30,36,14,0,61913,583,4615,128
2020-03-31,37,14,1,67366,732,5453,149
2020-04-01,38,14,2,73522,872,6156,140
2020-04-02,39,14,3,79696,1017,6174,145
2020-04-03,40,14,4,85778,1158,6082,141
2020-04-04,41,14,5,91714,1342,5936,184
2020-04-05,42,14,6,95391,1434,3677,92
2020-04-06,43,15,0,99225,1607,3834,173
2020-04-07,44,15,1,103228,1861,4003,254
2020-04-08,45,15,2,108202,2107,4974,246
2020-04-09,46,15,3,113525,2373,5323,266
2020-04-10,47,15,4,117658,2544,4133,171
2020-04-11,48,15,5,120479,2673,2821,129
2020-04-12,49,15,6,123016,2799,2537,126
2020-04-13,50,16,0,125098,2969,2082,170
2020-04-14,51,16,1,127584,3254,2486,285
2020-04-15,52,16,2,130450,3569,2866,315
2020-04-16,53,16,3,133830,3868,3380,299
2020-04-17,54,16,4,137439,4110,3609,242
2020-04-18,55,16,5,139897,4294,2458,184
2020-04-19,56,16,6,141672,4404,1775,110
2020-04-20,57,17,0,143457,4598,1785,194
2020-04-21,58,17,1,145694,4879,2237,281
2020-04-22,59,17,2,148046,5094,2352,215
2020-04-23,60,17,3,150383,5321,2337,227
2020-04-24,61,17,4,152438,5500,2055,179
2020-04-25,62,17,5,154175,5640,1737,140
2020-04-26,63,17,6,155193,5750,1018,110
2020-04-27,64,18,0,156337,5913,1144,163
2020-04-28,65,18,1,157641,6115,1304,202
2020-04-29,66,18,2,159119,6288,1478,173
2020-04-30,67,18,3,160758,6481,1639,193
2020-05-01,68,18,4,161703,6575,945,94
2020-05-02,69,18,5,162496,6649,793,74
2020-05-03,70,18,6,163175,6692,679,43
2020-05-04,71,19,0,163860,6831,685,139
2020-05-05,72,19,1,164807,6996,947,165
2020-05-06,73,19,2,166091,7119,1284,123
2020-05-07,74,19,3,167300,7266,1209,147
2020-05-08,75,19,4,168551,7369,1251,103
2020-05-09,76,19,5,169218,7395,667,26
