Kw,0,10,20,30,40,50,60,70,80,90,100
10,18,62,144,134,186,207,87,34,17,1,0
11,93,283,868,1080,1310,1727,670,256,120,12,0
12,313,791,3458,3814,3905,5699,2492,1193,685,94,4
13,507,1320,4966,5029,5257,7595,4176,2734,2028,412,12
14,567,1504,4730,4619,5032,7374,4483,3202,3414,1142,33
15,469,1158,3666,3406,3592,5218,2916,2360,3143,1204,41
16,321,805,2526,2180,2191,3118,1740,1487,2109,831,16
17,337,587,1951,1670,1488,2047,1179,1013,1507,567,20
18,249,398,1276,1025,927,1202,674,623,782,278,7
19,242,382,1031,905,848,1028,540,479,560,205,2
20,228,298,799,741,680,727,381,300,424,139,2
21,202,260,661,596,492,513,300,198,278,100,3
22,198,281,602,504,422,471,276,161,197,70,3
23,206,262,447,359,335,291,167,105,127,41,0
24,232,230,486,415,301,282,138,84,114,48,0
25,334,433,767,776,825,501,188,120,107,36,1
26,272,308,576,625,548,466,172,98,84,26,0
27,265,240,567,484,435,338,173,77,76,23,0
28,259,248,460,458,368,288,154,96,57,15,0
29,274,338,599,537,480,380,176,100,63,24,3
30,280,416,738,693,617,507,232,116,81,17,0
31,342,598,994,785,798,617,233,156,123,40,2
32,456,876,1274,977,898,707,310,142,106,24,5
Summe,6664,12078,33586,31812,31935,41303,21857,15134,16202,5349,154
