Kw,Testungen,Positiv
10,124716,3892
11,127457,7582
12,348619,23820
13,361515,31414
14,408348,36885
15,380197,30791
16,331902,22082
17,363890,18083
18,326788,12608
19,403875,10755
20,432666,7233
21,353467,5218
22,405269,4310
23,340986,3208
24,327196,2816
25,388187,5316
26,467413,3689
27,507663,3104
28,510551,2992
29,538701,3497
30,574883,4539
31,586620,5738
32,736171,7335
33,835384,8121
34,1084446,9143
35,1120883,8323
36,1062581,7941
37,1164932,10046
38,1146193,13253
39,1155333,14082
40,1101080,18279
41,1186206,29540
42,1195661,43308
