Date,Kw,WTag,Cases,Deaths
0,4,2,0,0
1,4,3,0,0
2,4,4,0,0
3,4,5,0,0
4,4,6,0,0
5,5,0,0,0
6,5,1,0,0
7,5,2,0,0
8,5,3,0,0
9,5,4,0,0
10,5,5,0,0
11,5,6,0,0
12,6,0,0,0
13,6,1,0,0
14,6,2,0,0
15,6,3,0,0
16,6,4,0,0
17,6,5,0,0
18,6,6,0,0
19,7,0,0,0
20,7,1,0,0
21,7,2,0,0
22,7,3,0,0
23,7,4,0,0
24,7,5,0,0
25,7,6,0,0
26,8,0,0,0
27,8,1,0,0
28,8,2,0,0
29,8,3,0,0
30,8,4,0,0
31,8,5,0,0
32,8,6,0,0
33,9,0,0,0
34,9,1,0,0
35,9,2,0,0
36,9,3,0,0
37,9,4,0,0
38,9,5,0,1
39,9,6,1,1
40,10,0,1,6
41,10,1,6,7
42,10,2,7,11
43,10,3,11,12
44,10,4,12,14
45,10,5,14,17
46,10,6,17,21
47,11,0,21,22
48,11,1,22,28
49,11,2,28,33
50,11,3,33,43
51,11,4,43,51
52,11,5,51,58
53,11,6,58,70
54,12,0,70,97
55,12,1,97,132
56,12,2,132,191
57,12,3,191,265
58,12,4,265,364
59,12,5,364,464
60,12,6,464,574
61,13,0,574,763
62,13,1,763,1002
63,13,2,1002,1326
64,13,3,1326,1734
65,13,4,1734,2254
66,13,5,2254,2886
67,13,6,2886,3472
68,14,0,3472,4164
69,14,1,4164,5252
70,14,2,5252,6422
71,14,3,6422,7924
72,14,4,7924,9313
73,14,5,9313,10843
74,14,6,10843,12426
75,15,0,12426,14196
76,15,1,14196,16767
77,15,2,16767,18913
78,15,3,18913,21141
79,15,4,21141,23359
80,15,5,23359,25488
81,15,6,25488,27294
82,16,0,27294,29240
83,16,1,29240,31692
84,16,2,31692,34301
85,16,3,34301,36477
86,16,4,36477,38570
87,16,5,38570,40530
88,16,6,40530,42461
89,17,0,42461,44647
90,17,1,44647,47195
91,17,2,47195,49629
92,17,3,49629,52101
93,17,4,52101,54255
94,17,5,54255,55953
95,17,6,55953,57282
96,18,0,57282,58748
97,18,1,58748,60989
98,18,2,60989,63510
99,18,3,63510,65930
100,18,4,65930,67808
101,18,5,67808,69495
102,18,6,69495,70591
103,19,0,70591,71903
104,19,1,71903,74207
105,19,2,74207,76556
106,19,3,76556,78484
107,19,4,78484,80231
108,19,5,80231,81781
109,19,6,81781,82670
110,20,0,82670,83676
111,20,1,83676,85289
112,20,2,85289,87035
113,20,3,87035,88812
114,20,4,88812,90482
115,20,5,90482,91756
116,20,6,91756,92504
117,21,0,92504,93669
118,21,1,93669,95195
119,21,2,95195,96715
120,21,3,96715,97922
121,21,4,97922,99166
122,21,5,99166,100297
123,21,6,100297,100908
124,22,0,100908,101456
125,22,1,101456,102107
126,22,2,102107,103625
127,22,3,103625,104803
128,22,4,104803,105963
129,22,5,105963,106926
130,22,6,106926,107614
131,23,0,107614,108388
132,23,1,108388,109444
133,23,2,109444,110441
134,23,3,110441,111450
135,23,4,111450,112348
136,23,5,112348,113054
137,23,6,113054,113492
138,24,0,113492,113984
139,24,1,113984,114925
140,24,2,114925,115822
141,24,3,115822,116682
142,24,4,116682,117500
143,24,5,117500,118270
144,24,6,118270,118578
145,25,0,118578,118954
146,25,1,118954,119778
147,25,2,119778,120511
148,25,3,120511,121222
149,25,4,121222,121892
150,25,5,121892,122510
151,25,6,122510,122795
152,26,0,122795,123175
153,26,1,123175,124019
154,26,2,124019,124776
155,26,3,124776,125327
156,26,4,125327,125944
157,26,5,125944,126448
158,26,6,126448,126721
159,27,0,126721,127098
160,27,1,127098,127753
161,27,2,127753,128441
