Tag,WTag,Kw,Cases,WCases,WTagAnteil
2020-02-24,0,9,16,150,0.10670000
2020-02-25,1,9,5,150,0.03330000
2020-02-26,2,9,5,150,0.03330000
2020-02-27,3,9,27,150,0.18000000
2020-02-28,4,9,13,150,0.08670000
2020-02-29,5,9,51,150,0.34000000
2020-03-01,6,9,33,150,0.22000000
2020-03-02,0,10,38,962,0.03950000
2020-03-03,1,10,52,962,0.05410000
2020-03-04,2,10,109,962,0.11330000
2020-03-05,3,10,185,962,0.19230000
2020-03-06,4,10,150,962,0.15590000
2020-03-07,5,10,163,962,0.16940000
2020-03-08,6,10,265,962,0.27550000
2020-03-09,0,11,184,4900,0.03760000
2020-03-10,1,11,271,4900,0.05530000
2020-03-11,2,11,802,4900,0.16370000
2020-03-12,3,11,693,4900,0.14140000
2020-03-13,4,11,733,4900,0.14960000
2020-03-14,5,11,1043,4900,0.21290000
2020-03-15,6,11,1174,4900,0.23960000
2020-03-16,0,12,1144,16660,0.06870000
2020-03-17,1,12,1042,16660,0.06250000
2020-03-18,2,12,2801,16660,0.16810000
2020-03-19,3,12,2958,16660,0.17760000
2020-03-20,4,12,2705,16660,0.16240000
2020-03-21,5,12,1948,16660,0.11690000
2020-03-22,6,12,4062,16660,0.24380000
2020-03-23,0,13,4764,34626,0.13760000
2020-03-24,1,13,4118,34626,0.11890000
2020-03-25,2,13,4954,34626,0.14310000
2020-03-26,3,13,5780,34626,0.16690000
2020-03-27,4,13,6294,34626,0.18180000
2020-03-28,5,13,3965,34626,0.11450000
2020-03-29,6,13,4751,34626,0.13720000
2020-03-30,0,14,4615,38093,0.12120000
2020-03-31,1,14,5453,38093,0.14310000
2020-04-01,2,14,6156,38093,0.16160000
2020-04-02,3,14,6174,38093,0.16210000
2020-04-03,4,14,6082,38093,0.15970000
2020-04-04,5,14,5936,38093,0.15580000
2020-04-05,6,14,3677,38093,0.09650000
2020-04-06,0,15,3834,27625,0.13880000
2020-04-07,1,15,4003,27625,0.14490000
2020-04-08,2,15,4974,27625,0.18010000
2020-04-09,3,15,5323,27625,0.19270000
2020-04-10,4,15,4133,27625,0.14960000
2020-04-11,5,15,2821,27625,0.10210000
2020-04-12,6,15,2537,27625,0.09180000
2020-04-13,0,16,2082,18656,0.11160000
2020-04-14,1,16,2486,18656,0.13330000
2020-04-15,2,16,2866,18656,0.15360000
2020-04-16,3,16,3380,18656,0.18120000
2020-04-17,4,16,3609,18656,0.19340000
2020-04-18,5,16,2458,18656,0.13180000
2020-04-19,6,16,1775,18656,0.09510000
2020-04-20,0,17,1785,13521,0.13200000
2020-04-21,1,17,2237,13521,0.16540000
2020-04-22,2,17,2352,13521,0.17400000
2020-04-23,3,17,2337,13521,0.17280000
2020-04-24,4,17,2055,13521,0.15200000
2020-04-25,5,17,1737,13521,0.12850000
2020-04-26,6,17,1018,13521,0.07530000
2020-04-27,0,18,1144,7982,0.14330000
2020-04-28,1,18,1304,7982,0.16340000
2020-04-29,2,18,1478,7982,0.18520000
2020-04-30,3,18,1639,7982,0.20530000
2020-05-01,4,18,945,7982,0.11840000
2020-05-02,5,18,793,7982,0.09930000
2020-05-03,6,18,679,7982,0.08510000
2020-05-04,0,19,685,6400,0.10700000
2020-05-05,1,19,947,6400,0.14800000
2020-05-06,2,19,1284,6400,0.20060000
2020-05-07,3,19,1209,6400,0.18890000
2020-05-08,4,19,1251,6400,0.19550000
2020-05-09,5,19,667,6400,0.10420000
2020-05-10,6,19,357,6400,0.05580000
2020-05-11,0,20,933,5122,0.18220000
2020-05-12,1,20,798,5122,0.15580000
2020-05-13,2,20,933,5122,0.18220000
2020-05-14,3,20,913,5122,0.17830000
2020-05-15,4,20,620,5122,0.12100000
2020-05-16,5,20,583,5122,0.11380000
2020-05-17,6,20,342,5122,0.06680000
2020-05-18,0,21,513,3873,0.13250000
2020-05-19,1,21,797,3873,0.20580000
2020-05-20,2,21,745,3873,0.19240000
2020-05-21,3,21,460,3873,0.11880000
2020-05-22,4,21,638,3873,0.16470000
2020-05-23,5,21,431,3873,0.11130000
2020-05-24,6,21,289,3873,0.07460000
2020-05-25,0,22,432,3245,0.13310000
2020-05-26,1,22,362,3245,0.11160000
2020-05-27,2,22,353,3245,0.10880000
2020-05-28,3,22,741,3245,0.22840000
2020-05-29,4,22,738,3245,0.22740000
2020-05-30,5,22,286,3245,0.08810000
2020-05-31,6,22,333,3245,0.10260000
2020-06-01,0,23,213,2378,0.08960000
2020-06-02,1,23,342,2378,0.14380000
2020-06-03,2,23,394,2378,0.16570000
2020-06-04,3,23,507,2378,0.21320000
2020-06-05,4,23,407,2378,0.17120000
2020-06-06,5,23,301,2378,0.12660000
2020-06-07,6,23,214,2378,0.09000000
2020-06-08,0,24,350,2268,0.15430000
2020-06-09,1,24,318,2268,0.14020000
2020-06-10,2,24,555,2268,0.24470000
2020-06-11,3,24,258,2268,0.11380000
2020-06-12,4,24,348,2268,0.15340000
2020-06-13,5,24,247,2268,0.10890000
2020-06-14,6,24,192,2268,0.08470000
2020-06-15,0,25,378,3898,0.09700000
2020-06-16,1,25,345,3898,0.08850000
2020-06-17,2,25,580,3898,0.14880000
2020-06-18,3,25,770,3898,0.19750000
2020-06-19,4,25,601,3898,0.15420000
2020-06-20,5,25,687,3898,0.17620000
